window_idx,peak_freq_original,power_before_40Hz,power_before_50Hz,power_before_60Hz,label_before,max_power_before,SVM_mapped_freq,SVM_power_40Hz,SVM_power_50Hz,SVM_power_60Hz,SVM_max_power,SVM_improvement,RF_mapped_freq,RF_power_40Hz,RF_power_50Hz,RF_power_60Hz,RF_max_power,RF_improvement,KNN_mapped_freq,KNN_power_40Hz,KNN_power_50Hz,KNN_power_60Hz,KNN_max_power,KNN_improvement,XGB_mapped_freq,XGB_power_40Hz,XGB_power_50Hz,XGB_power_60Hz,XGB_max_power,XGB_improvement,file_name
55,35.65865573384008,2824960.6393030295,235087.40705397385,66254.54871153735,40,2824960.6393030295,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,mpu_raw_optimized_driving_1_20251204_113252.csv
56,37.63969216349786,8438963.00990503,392676.8200864745,98532.50664052829,40,8438963.00990503,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,mpu_raw_optimized_driving_1_20251204_113252.csv
57,37.35668695926103,7126815.529022,364301.6323487081,93098.67981594392,40,7126815.529022,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,mpu_raw_optimized_driving_1_20251204_113252.csv
58,35.65865573384008,2824960.6393030295,235087.40705397385,66254.54871153735,40,2824960.6393030295,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,mpu_raw_optimized_driving_1_20251204_113252.csv
59,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,33923687.36250183,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
60,35.65865573384008,2824960.6393030295,235087.40705397385,66254.54871153735,40,2824960.6393030295,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,mpu_raw_optimized_driving_1_20251204_113252.csv
61,37.35668695926103,7126815.529022,364301.6323487081,93098.67981594392,40,7126815.529022,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,mpu_raw_optimized_driving_1_20251204_113252.csv
62,37.07368175502421,6039706.92555758,338191.141575573,87966.99924800238,40,6039706.92555758,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,mpu_raw_optimized_driving_1_20251204_113252.csv
63,35.65865573384008,2824960.6393030295,235087.40705397385,66254.54871153735,40,2824960.6393030295,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,34874151.20377448,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,mpu_raw_optimized_driving_1_20251204_113252.csv
64,35.37565052960325,2459722.3053259766,218902.78632865447,62598.60401282763,40,2459722.3053259766,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22673018.92339236,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22673018.92339236,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22673018.92339236,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22673018.92339236,mpu_raw_optimized_driving_1_20251204_113252.csv
65,37.35668695926103,7126815.529022,364301.6323487081,93098.67981594392,40,7126815.529022,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,mpu_raw_optimized_driving_1_20251204_113252.csv
66,37.07368175502421,6039706.92555758,338191.141575573,87966.99924800238,40,6039706.92555758,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,mpu_raw_optimized_driving_1_20251204_113252.csv
67,36.79067655078738,5140209.106178912,314138.8491400867,83119.59211206983,40,5140209.106178912,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,mpu_raw_optimized_driving_1_20251204_113252.csv
68,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
69,38.48870777620834,14049766.712558718,493846.09421301016,116845.25454552667,40,14049766.712558718,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,11082974.516159618,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,11082974.516159618,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,11082974.516159618,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,11082974.516159618,mpu_raw_optimized_driving_1_20251204_113252.csv
70,36.79067655078738,5140209.106178912,314138.8491400867,83119.59211206983,40,5140209.106178912,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,mpu_raw_optimized_driving_1_20251204_113252.csv
71,36.79067655078738,5140209.106178912,314138.8491400867,83119.59211206983,40,5140209.106178912,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,mpu_raw_optimized_driving_1_20251204_113252.csv
72,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
73,37.35668695926103,7126815.529022,364301.6323487081,93098.67981594392,40,7126815.529022,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,mpu_raw_optimized_driving_1_20251204_113252.csv
74,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
75,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
76,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
77,36.79067655078738,5140209.106178912,314138.8491400867,83119.59211206983,40,5140209.106178912,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19992532.122539423,mpu_raw_optimized_driving_1_20251204_113252.csv
78,35.65865573384008,2824960.6393030295,235087.40705397385,66254.54871153735,40,2824960.6393030295,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,mpu_raw_optimized_driving_1_20251204_113252.csv
79,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
80,35.65865573384008,2824960.6393030295,235087.40705397385,66254.54871153735,40,2824960.6393030295,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,22307780.589415308,mpu_raw_optimized_driving_1_20251204_113252.csv
81,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
82,37.35668695926103,7126815.529022,364301.6323487081,93098.67981594392,40,7126815.529022,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,18005925.699696336,mpu_raw_optimized_driving_1_20251204_113252.csv
83,37.07368175502421,6039706.92555758,338191.141575573,87966.99924800238,40,6039706.92555758,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,31659404.91751993,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,19093034.303160757,mpu_raw_optimized_driving_1_20251204_113252.csv
